recipe_id,source_page,design_no,parts,cloth,n1,n2,n3,n4,n5,tikli,jari_note,image,notes,clarity
R1962,67,8028,neck,yellow,118 L Royal,110 Royal,789 D Raj,,,,,Jeetubhai Images\OS New folder (8) Images\8028 Neck 3 250.JPG,,high
R1969,68,7014,kp,green,110 Royal,118 L Royal,911 Royal,,,tikli,,Jeetubhai Images\OS New folder (7) Images\7014 KP 200.JPG,shared 8032/7014,high
R1970,68,7014,kp,rama,110 Royal,118 L Royal,935 Raj,,,tikli,,Jeetubhai Images\OS New folder (7) Images\7014 KP 200.JPG,shared 8032/7014,high
R1971,68,7014,kp,yellow,110 Royal,118 L Royal,789 D Raj,,,tikli,,Jeetubhai Images\OS New folder (7) Images\7014 KP 200.JPG,shared 8032/7014,high
R1975,68,7097,neck,green,343 Royal,168 Royal,190 Raj,,,tikli,,Jeetubhai Images\OS New folder (7) Images\7097 Nake P2 250  small.JPG,shared 7097/7069,high
R1976,68,7097,neck,pink,45 Royal,168 Royal,190 Raj,,,tikli,,Jeetubhai Images\OS New folder (7) Images\7097 Nake P2 250  small.JPG,shared 7097/7069,high
R1977,68,7097,neck,yellow,936 Raj,168 Royal,190 Raj,,,tikli,,Jeetubhai Images\OS New folder (7) Images\7097 Nake P2 250  small.JPG,shared 7097/7069,high
R1978,68,8032,neck,green,110 Royal,118 L Royal,911 Royal,,,tikli,,Jeetubhai Images\OS New folder (8) Images\8032 Neck 250.JPG,shared 8032/7014,high
R1979,68,8032,neck,rama,110 Royal,118 L Royal,935 Raj,,,tikli,,Jeetubhai Images\OS New folder (8) Images\8032 Neck 250.JPG,shared 8032/7014,high
R1980,68,8032,neck,yellow,110 Royal,118 L Royal,789 D Raj,,,tikli,,Jeetubhai Images\OS New folder (8) Images\8032 Neck 250.JPG,shared 8032/7014,high
R1981,68,8037,neck,firozi,190 Raj,74 N Raj,937 D Raj,,,tikli,,Jeetubhai Images\OS New folder (8) Images\8037 Neck 250.BMP|Jeetubhai Images\OS New folder (8) Images\8037 Neck 250.JPG,,high
R1982,68,8037,neck,green,702 Raj,112 N Raj,342 DR Raj,,,tikli,,Jeetubhai Images\OS New folder (8) Images\8037 Neck 250.BMP|Jeetubhai Images\OS New folder (8) Images\8037 Neck 250.JPG,,high
R1983,68,8037,neck,yellow,190 Raj,104 Raj,88 N Royal,,,tikli,,Jeetubhai Images\OS New folder (8) Images\8037 Neck 250.BMP|Jeetubhai Images\OS New folder (8) Images\8037 Neck 250.JPG,,high
R1984,68,8038,neck,mendi,118 LL Royal,372 Royal,MD Royal,,,tikli,,Jeetubhai Images\OS New folder (8) Images\8038 Neck 250.BMP,,high
R1985,68,8038,neck,rama,118 LL Royal,372 Royal,911 D Royal,,,tikli,,Jeetubhai Images\OS New folder (8) Images\8038 Neck 250.BMP,,high
R1986,68,8038,neck,red,118 LL Royal,372 Royal,8 NL Royal,,,tikli,,Jeetubhai Images\OS New folder (8) Images\8038 Neck 250.BMP,,high
R1992,68,8058,kp,firozi,345 Royal,111 Royal,76 Royal,,,tikli,,Jeetubhai Images\OS New folder (8) Images\8058 KP 200.BMP,80 Pcs; was misread as 5058 in v1,high
R1993,68,8058,kp,yellow green,345 Royal,235 Royal,103 Royal,,,tikli,,Jeetubhai Images\OS New folder (8) Images\8058 KP 200.BMP,76 Pcs; was misread as 5058 in v1,high
R1994,68,8058,kp,yellow,345 Royal,822 R Raj,105 B Raj,,,tikli,,Jeetubhai Images\OS New folder (8) Images\8058 KP 200.BMP,80 Pcs; was misread as 5058 in v1,high
R1995,68,8080,neck,orange,791 Royal,234 Royal,368 Royal,,,tikli,,Jeetubhai Images\OS New folder (8) Images\8080 Neck 200.BMP,48 Pcs,high
R1996,68,8080,neck,pink,775 Royal,236 Royal,730 Royal,,,tikli,,Jeetubhai Images\OS New folder (8) Images\8080 Neck 200.BMP,55 Pcs,high
R1997,68,8080,neck,rama,813 Royal,236 Royal,34 Royal,,,tikli,,Jeetubhai Images\OS New folder (8) Images\8080 Neck 200.BMP,44 Pcs,high
R2004,69,5033,neck+border,firozi,315 Royal,235 Royal,722 Raj,,,,,Jeetubhai Images\OS New folder (5) Images\5033 Neck 400.BMP,,high
R2005,69,5033,neck+border,green,315 Royal,1004 D Royal,98 D Raj,,,,,Jeetubhai Images\OS New folder (5) Images\5033 Neck 400.BMP,,high
R2006,69,5033,neck+border,yellow,315 Royal,1004 D Royal,188 T Raj,,,,,Jeetubhai Images\OS New folder (5) Images\5033 Neck 400.BMP,,high
R2007,69,5042,neck+daman,blue,911 Raj,401 Royal,105 Raj,322 Royal,,,,Jeetubhai Images\OS New folder (5) Images\5042 Nake.BMP,54 Pcs,high
R2008,69,5042,neck+daman,green,8 NL Royal,871 Raj,105 Raj,222 Royal,,,,Jeetubhai Images\OS New folder (5) Images\5042 Nake.BMP,58 Pcs,high
R2009,69,5042,neck+daman,red,343 Royal,105 Raj,871 Raj,322 Royal,,,,Jeetubhai Images\OS New folder (5) Images\5042 Nake.BMP,56 Pcs,high
R2013,69,7063,neck,firozi,234 Royal,Black,76 Royal,,,,,Jeetubhai Images\OS New folder (7) Images\7063 Nake 250.BMP|Jeetubhai Images\OS New folder (7) Images\7063 Nake 250.JPG,32 Pcs,high
R2014,69,7063,neck,orange,234 Royal,Black,731 L Raj,,,,,Jeetubhai Images\OS New folder (7) Images\7063 Nake 250.BMP|Jeetubhai Images\OS New folder (7) Images\7063 Nake 250.JPG,35 Pcs,high
R2015,69,7063,neck,pink,234 Royal,Black,792 D Raj,,,,,Jeetubhai Images\OS New folder (7) Images\7063 Nake 250.BMP|Jeetubhai Images\OS New folder (7) Images\7063 Nake 250.JPG,31 Pcs,high
R2038,70,7056,neck,blue,86 Raj,190 Raj,222 Raj,,,,,Jeetubhai Images\OS New folder (7) Images\7056 Nake 400.JPG,43 Pcs,high
