design_no,part_raw,part_clean,image_path,filename
1204,Astin Butta 400,Astin Butta,Jeetubhai Images\OS New folder (12) Images\1204 Astin Butta 400.JPG,1204 Astin Butta 400.JPG
1204,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1204 Neck 400.JPG,1204 Neck 400.JPG
1205,ASTEEN 200,ASTEEN,Jeetubhai Images\OS New folder (12) Images\1205 ASTEEN 200.JPG,1205 ASTEEN 200.JPG
1205,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1205 Neck 400.JPG,1205 Neck 400.JPG
1206,Astin 400,Astin,Jeetubhai Images\OS New folder (12) Images\1206 Astin 400.JPG,1206 Astin 400.JPG
1206,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1206 Neck 400.JPG,1206 Neck 400.JPG
1207,Border 200,Border,Jeetubhai Images\OS New folder (12) Images\1207 Border 200.JPG,1207 Border 200.JPG
1207,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1207 Neck 400.JPG,1207 Neck 400.JPG
1208,Border 200,Border,Jeetubhai Images\OS New folder (12) Images\1208 Border 200.JPG,1208 Border 200.JPG
1208,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1208 Neck 400.JPG,1208 Neck 400.JPG
1209,Astin 400,Astin,Jeetubhai Images\OS New folder (12) Images\1209 Astin 400.JPG,1209 Astin 400.JPG
1209,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1209 Neck 400.JPG,1209 Neck 400.JPG
1211,Astin 400,Astin,Jeetubhai Images\OS New folder (12) Images\1211 Astin 400.JPG,1211 Astin 400.JPG
1211,Neck,Neck,Jeetubhai Images\OS New folder (12) Images\1211 Neck.JPG,1211 Neck.JPG
1212,Astin 400,Astin,Jeetubhai Images\OS New folder (12) Images\1212 Astin 400.JPG,1212 Astin 400.JPG
1212,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1212 Neck 400.JPG,1212 Neck 400.JPG
1213,Border 250,Border,Jeetubhai Images\OS New folder (12) Images\1213 Border 250.JPG,1213 Border 250.JPG
1213,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1213 Neck 400.JPG,1213 Neck 400.JPG
1214,Border 200,Border,Jeetubhai Images\OS New folder (12) Images\1214 Border 200.JPG,1214 Border 200.JPG
1214,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1214 Neck 400.JPG,1214 Neck 400.JPG
