recipe_id,source_page,design_no,parts,cloth,n1,n2,n3,n4,n5,tikli,jari_note,image,notes,clarity
R1950,67,8014,neck,,343 Royal,35 D Raj,936 Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8014 Nake 250.BMP|Jeetubhai Images\OS New folder (8) Images\8014 Nake 250.JPG,,high
R1951,67,8014,neck,,343 Royal,7 Royal,791 Raj,,,,,Jeetubhai Images\OS New folder (8) Images\8014 Nake 250.BMP|Jeetubhai Images\OS New folder (8) Images\8014 Nake 250.JPG,,high
R1952,67,8014,neck,,343 Royal,798 Royal,4 Raj,,,,,Jeetubhai Images\OS New folder (8) Images\8014 Nake 250.BMP|Jeetubhai Images\OS New folder (8) Images\8014 Nake 250.JPG,,high
R1953,67,8015,neck,,100 Royal,326 Royal,339 D Raj,,,,,Jeetubhai Images\OS New folder (8) Images\8015 Nake 250.JPG,,high
R1954,67,8015,neck,,358 Royal,8 D Royal,81 Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8015 Nake 250.JPG,,high
R1955,67,8015,neck,,842 Royal,710 D Raj,710 Raj,,,,,Jeetubhai Images\OS New folder (8) Images\8015 Nake 250.JPG,,high
R1956,67,8026,neck,,4 Raj,798 Royal,343 Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8026 Neck 250.JPG,,high
R1957,67,8026,neck,,791 Raj,222 D Raj,343 Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8026 Neck 250.JPG,,high
R1958,67,8026,neck,,791 Raj,35 D Raj,343 Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8026 Neck 250.JPG,,high
R1959,67,8026,neck,,936 Raj,35 D Raj,343 Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8026 Neck 250.JPG,,high
R1963,67,8076,neck,,372 U Royal,361 Royal,776 Raj,,,,,Jeetubhai Images\OS New folder (8) Images\8076 Neck 250.BMP,,high
R1964,67,8076,neck,,403 Royal,778 D Royal,782 Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8076 Neck 250.BMP,,high
R1965,67,8076,neck,,709 Royal,361 Royal,75 Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8076 Neck 250.BMP,,high
R1966,68,5066,kp,,315 Royal,1004 D Royal,98 D Raj,,,,,Jeetubhai Images\OS New folder (5) Images\5066 Kurta patti 400.BMP,shared 8044/5066; 42 KP,high
R1967,68,5066,kp,,315 Royal,1004 D Royal,722 Raj,,,,,Jeetubhai Images\OS New folder (5) Images\5066 Kurta patti 400.BMP,shared 8044/5066; 42 KP,high
R1968,68,5066,kp,,315 Royal,235 Royal,188 T Raj,,,,,Jeetubhai Images\OS New folder (5) Images\5066 Kurta patti 400.BMP,shared 8044/5066; 36 KP,high
R1972,68,7069,kp,,343 Royal,168 Royal,190 Raj,,,tikli,,Jeetubhai Images\OS New folder (7) Images\7069 KP 250.JPG,shared 7097/7069,high
R1973,68,7069,kp,,45 Royal,168 Royal,190 Raj,,,tikli,,Jeetubhai Images\OS New folder (7) Images\7069 KP 250.JPG,shared 7097/7069,high
R1974,68,7069,kp,,936 Raj,168 Royal,190 Raj,,,tikli,,Jeetubhai Images\OS New folder (7) Images\7069 KP 250.JPG,shared 7097/7069,high
